schemaVersion,suiteId,seed,caseId,exactDepth,algorithm,repetitionIndex,status,solutionDepth,solutionMoves,nodesExpanded,nodesGenerated,limitReason,elapsedMs
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.0|Y:0.0|Z:2.1,2,BFS,0,SOLVED,2,F_CW F_CW,54,648,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.0|Y:0.0|Z:2.1,2,BIDIRECTIONAL_BFS,0,SOLVED,2,F_CW F_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.0|Y:0.0|Z:2.1,2,IDA_STAR,0,SOLVED,2,F_CW F_CW,2,24,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:0.1|Y:2.1|Z:1.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,R_CCW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:0.1|Y:2.1|Z:1.0,2,IDA_STAR,0,SOLVED,2,R_CCW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:19|X:0.1|Y:2.1|Z:1.0,2,BFS,0,SOLVED,2,R_CCW D_CW,100,1200,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:0.1|Y:3.2|Z:3.0,2,IDA_STAR,0,SOLVED,2,D_CCW L_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:0.1|Y:3.2|Z:3.0,2,BFS,0,SOLVED,2,D_CCW L_CW,48,576,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:0.1|Y:3.2|Z:3.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,D_CCW L_CW,2,24,,1
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.0|Y:0.2|Z:0.0,2,BFS,0,SOLVED,2,U_CCW D_CW,25,300,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.0|Y:0.2|Z:0.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,U_CCW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:0|X:0.0|Y:0.2|Z:0.0,2,IDA_STAR,0,SOLVED,2,U_CCW D_CW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:3.2|Y:1.1|Z:3.0,2,BIDIRECTIONAL_BFS,0,SOLVED,2,D_CW L_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:3.2|Y:1.1|Z:3.0,2,IDA_STAR,0,SOLVED,2,D_CW L_CCW,2,24,,0
1,phase5c-structural-depth2-8-v1,phase5c-structural-d2-8-v1,d2:C:11|X:3.2|Y:1.1|Z:3.0,2,BFS,0,SOLVED,2,D_CW L_CCW,41,492,,1
